tournament_id,original_tournament_id,year,collected_at,player_count,winner_id,winner_name,winning_score,winning_score_to_par
R2025016,R2025016,2007,2025-03-22 02:00:49.874,34,06567,Vijay Singh,278,-14
R2025016,R2025016,2008,2025-03-22 02:00:51.045,31,20850,Daniel Chopra,274,-18
R2025016,R2025016,2009,2025-03-22 02:00:51.830,33,22046,Geoff Ogilvy,268,-24
R2025016,R2025016,2010,2025-03-22 02:00:52.705,28,22046,Geoff Ogilvy,270,-22
R2025016,R2025016,2011,2025-03-22 02:00:53.754,33,24925,Jonathan Byrd,268,-24
R2025016,R2025016,2012,2025-03-22 02:00:54.687,27,06527,Steve Stricker,269,-23
R2025016,R2025016,2013,2025-03-22 02:00:55.505,30,30925,Dustin Johnson,203,-16
R2025016,R2025016,2014,2025-03-22 02:00:56.339,30,24024,Zach Johnson,273,-19
R2025016,R2025016,2015,2025-03-22 02:00:57.266,34,34360,Patrick Reed,271,-21
R2025016,R2025016,2016,2025-03-22 02:00:58.671,32,34046,Jordan Spieth,262,-30
R2025016,R2025016,2017,2025-03-22 02:00:59.533,32,33448,Justin Thomas,270,-22
R2025016,R2025016,2018,2025-03-22 02:01:00.326,34,30925,Dustin Johnson,268,-24
R2025016,R2025016,2019,2025-03-22 02:01:01.088,33,48081,Xander Schauffele,269,-23
R2025016,R2025016,2020,2025-03-22 02:01:01.969,34,33448,Justin Thomas,278,-14
R2025016,R2025016,2021,2025-03-22 02:01:02.767,42,34099,Harris English,267,-25
R2025016,R2025016,2022,2025-03-22 02:01:03.653,38,35891,Cameron Smith,258,-34
R2025016,R2025016,2023,2025-03-22 02:01:04.697,39,46970,Jon Rahm,265,-27
R2025016,R2025016,2024,2025-03-22 02:01:05.498,59,30926,Chris Kirk,263,-29
R2025016,R2025016,2025,2025-03-22 02:01:06.395,59,32839,Hideki Matsuyama,257,-35
