round,hole,par,score,status,nine,score_to_par
1,10,4,5,BOGEY,First,1
1,11,5,4,BIRDIE,First,-1
1,12,4,3,BIRDIE,First,-1
1,13,3,3,PAR,First,0
1,14,4,3,BIRDIE,First,-1
1,15,4,5,BOGEY,First,1
1,16,5,5,PAR,First,0
1,17,3,3,PAR,First,0
1,18,4,4,PAR,First,0
1,1,4,3,BIRDIE,Second,-1
1,2,4,4,PAR,Second,0
1,3,4,4,PAR,Second,0
1,4,3,3,PAR,Second,0
1,5,5,6,BOGEY,Second,1
1,6,3,6,DOUBLE_BOGEY,Second,3
1,7,4,4,PAR,Second,0
1,8,5,4,BIRDIE,Second,-1
1,9,4,4,PAR,Second,0
2,1,4,4,PAR,First,0
2,2,4,4,PAR,First,0
2,3,3,4,BOGEY,First,1
2,4,4,3,BIRDIE,First,-1
2,5,5,5,PAR,First,0
2,6,5,4,BIRDIE,First,-1
2,7,3,3,PAR,First,0
2,8,4,4,PAR,First,0
2,9,4,4,PAR,First,0
2,10,4,4,PAR,Second,0
2,11,5,4,BIRDIE,Second,-1
2,12,3,3,PAR,Second,0
2,13,5,4,BIRDIE,Second,-1
2,14,4,4,PAR,Second,0
2,15,3,3,PAR,Second,0
2,16,4,5,BOGEY,Second,1
2,17,4,3,BIRDIE,Second,-1
2,18,4,4,PAR,Second,0
3,10,4,3,BIRDIE,First,-1
3,11,5,4,BIRDIE,First,-1
3,12,3,3,PAR,First,0
3,13,4,3,BIRDIE,First,-1
3,14,4,3,BIRDIE,First,-1
3,15,5,5,PAR,First,0
3,16,4,6,DOUBLE_BOGEY,First,2
3,17,3,4,BOGEY,First,1
3,18,4,4,PAR,First,0
3,1,4,3,BIRDIE,Second,-1
3,2,4,4,PAR,Second,0
3,3,3,3,PAR,Second,0
3,4,5,6,BOGEY,Second,1
3,5,4,4,PAR,Second,0
3,6,4,5,BOGEY,Second,1
3,7,5,4,BIRDIE,Second,-1
3,8,3,3,PAR,Second,0
3,9,4,4,PAR,Second,0
