feature,importance
career_wins,0.5420294319205149
career_success_rating_numeric,0.20536475123969788
has_performance_data_scaled,0.11197884004594585
standings_rank_2_scaled,0.07391888687267407
owgr_tier_numeric,0.027091293493600392
owgr_field_strength_interaction,0.020641378806969455
career_events,0.01322725916263074
fedex_fall_rank,0.0023812979073323175
standings_rank,0.0012777723603782174
scoring_par_5_scoring_average,0.0005068730695049853
putting_average_distance_of_putts_made,0.0002716342774971742
career_success_score_percentile_interaction,0.0002644298267133534
career_official_money,0.00020530324858578048
strokes_gained_scoring_sg_total,0.00014485103178461987
first_year,0.00010481461841480064
strokes_gained_putting_sg_putting,9.04374662979797e-05
career_top_10_pct,6.284563852169746e-05
owgr_score,6.116342684782812e-05
events_current,5.714018921519168e-05
scoring_late_scoring_average,3.685248076634476e-05
strokes_gained_driving_sg_off_the_tee,3.416097199164561e-05
driving_driving_distance___all_drives,3.275303825070585e-05
events_1_scaled,3.1409317840678524e-05
achievement_year_joined_tour_scaled,1.9461343390393244e-05
scoring_birdie_average,1.5760469933260188e-05
earnings,1.4195761914677189e-05
scoring_par_3_scoring_average,1.3523564207410693e-05
scoring_par_4_scoring_average,1.1792930060759315e-05
owgr,1.075708902321328e-05
scoring_round_1_scoring_average,1.0331386762137514e-05
events,1.0241658158287124e-05
scoring_back_9_scoring_average,9.833367883442002e-06
standings_rank_1_scaled,8.939154730726967e-06
scoring_scoring_average_actual,8.838098787026782e-06
putting_average_distance_of_putts_made_total_dist._(inches)_scaled,7.590442373469371e-06
scoring_early_scoring_average,7.3387948172856586e-06
cuts_made_pct,5.857147301023462e-06
scoring_scoring_average_adjusted,4.621197634605661e-06
career_events_1_scaled,3.867378964369951e-06
driving_driving_distance,3.651492086222552e-06
scoring_round_2_scoring_average,2.5372368400014186e-06
scoring_birdie_average_rank_scaled,2.5211904067634713e-06
cuts_made,2.437669214015104e-06
driving_driving_distance_rank_scaled,1.979773609491009e-06
second,1.973860330484689e-06
victory_potential_interaction,1.8701751358836138e-06
current_top10_pct,1.2928768717192665e-06
top10,9.558562168316794e-07
field_strength_score_interaction,7.610607710764593e-07
career_wins_1_scaled,4.096259789507139e-07
strokes_gained_scoring_sg_total_total_sg:t,3.210903941261259e-07
third,2.9150255535260297e-07
rank_variability,2.73551984825884e-07
driving_driving_accuracy_percentage_rank,5.582932513702992e-08
cuts_made_ratio,3.240584911207749e-08
par3_avg,2.491363092040359e-08
experience_level_numeric,2.215492463159191e-08
strokes_gained_driving_sg_off_the_tee_total_sg:ott,2.112391311664196e-08
birdies,2.0180041049961966e-08
score_std_5,1.277514615640606e-08
strokes_gained_driving_sg_off_the_tee_rank_scaled,1.5838741195702356e-09
current_top25_pct,8.122164763992159e-10
career_top10,5.328952429298312e-10
current_cut_pct,4.753915580407791e-10
career_top25,5.247797079794811e-11
avg_score_to_par_history_interaction,2.3129419669881842e-17
top_10_finishes_history_interaction,1.4640530211424697e-17
worst_total_score_history_interaction,8.066532200471144e-18
avg_total_score_history_interaction,4.839071473594235e-19
avg_finish_history_interaction,4.397124636867099e-19
top_25_finishes_history_interaction,4.2489539775397636e-19
worst_finish_history_interaction,4.0085057367543575e-19
first_year_played_history_interaction,3.700958801038941e-19
data_completeness,9.709734686853707e-20
recent_finish_std,0.0
cuts_made_history_interaction,0.0
pars,0.0
finish_position_std,0.0
consistency_ratio_history_interaction,0.0
normalized_fit_score,0.0
total_positive_sg,0.0
scoring_front_9_scoring_average,0.0
par3_bogey_pct,0.0
putting_one_putt_percentage_rank_scaled,0.0
worst_score_to_par_history_interaction,0.0
history_sg_atg_pct,0.0
history_sg_app,0.0
others,0.0
recent_avg_finish_percentile_interaction,0.0
year,0.0
par4_avg_length,0.0
avg_windgust,0.0
avg_finish,0.0
recent_top10,0.0
international_wins,0.0
best_back_nine,0.0
strokes_gained_putting_sg_putting_total_sg:putting,0.0
bogeys,0.0
history_sg_short_game,0.0
putting_rank_avg,0.0
top10_rate_scaled,0.0
par5_avg,0.0
last4_position_numeric,0.0
recent_best_finish,0.0
back_nine_birdie_pct,0.0
overall_rank_worst,0.0
par4_eagles,0.0
best_score_to_par_history_interaction,0.0
last5_position_numeric,0.0
best_front_nine,0.0
putting_weaknesses,0.0
total_negative_sg,0.0
approach_weaknesses,0.0
par5_bogey_pct,0.0
putting_bottom50_count,0.0
history_sg_atg,0.0
success_ratio,0.0
top25_rate,0.0
eagles,0.0
top_25_finishes,0.0
strokes_gained_putting_sg_putting_rank_scaled,0.0
avg_back_nine,0.0
recent_score_std,0.0
history_sg_long_game,0.0
par4_birdie_pct,0.0
best_finish_position,0.0
top_quartile_count,0.0
history_sg_p,0.0
score_std_history_interaction,0.0
score_trend,0.0
last5_score,0.0
seconds,0.0
cuts_made_current,0.0
finish_std_history_interaction,0.0
scoring_early_scoring_average_rank_scaled,0.0
pars_pct,0.0
history_sg_app_pct,0.0
negative_sg_count,0.0
history_sg_p_pct,0.0
strokes_gained_off_the_tee_par_4_rank,0.0
bogeys_per_round,0.0
par4_holes,0.0
recent_wins,0.0
back_nine_bogey_pct,0.0
scoring_round_4_scoring_average_rank_scaled,0.0
putting_average_distance_of_putts_made_rank_scaled,0.0
history_sg_tot,0.0
strokes_gained_putting_8_to_20ft_rank_scaled,0.0
history_sg_ott_pct,0.0
course_win_history_interaction,0.0
best_total_score_history_interaction,0.0
off_tee_strengths,0.0
putting_top50_count,0.0
total_rounds,0.0
history_sg_ott,0.0
last1_position_numeric,0.0
par4_eagle_pct,0.0
par3_par_pct,0.0
off_tee_top50_count,0.0
top_25_pct,0.0
summary_round3_pars,0.0
wins_current,0.0
par3_birdie_pct,0.0
scoring_variability,0.0
best_round_score,0.0
avg_round_score,0.0
history_worst_sg_value,0.0
form_vs_history,0.0
par5_birdie_pct,0.0
putting_putting_average_rank_scaled,0.0
course_age,0.0
par5_eagle_pct,0.0
recent_trend_slope,0.0
scoring_round_3_scoring_average_rank_scaled,0.0
par5_holes,0.0
scoring_round_3_scoring_average,0.0
recent_top5,0.0
worst_round_score,0.0
approach_bottom50_count,0.0
off_tee_bottom50_count,0.0
scoring_round_2_scoring_average_rank_scaled,0.0
front_nine_bogey_pct,0.0
par4_par_pct,0.0
last4_score,0.0
history_best_sg_value,0.0
par5_par_pct,0.0
par4_avg,0.0
par4_bogey_pct,0.0
recent_form_score,0.0
driving_driving_distance_total_distance_scaled,0.0
par3_holes,0.0
front_nine_par_pct,0.0
pars_per_round,0.0
approach_top50_count,0.0
par3_eagle_pct,0.0
approach_rank_avg,0.0
best_finish_history_interaction,0.0
approach_strengths,0.0
par,0.0
achievement_fedexcup_champion_scaled,0.0
last1_score,0.0
avg_precipprob,0.0
total_score_std_history_interaction,0.0
scoring_round_1_scoring_average_rank_scaled,0.0
top_25,0.0
recent_top25,0.0
wind_range,0.0
wins,0.0
max_bogey_streak,0.0
thirds,0.0
recent_worst_finish,0.0
last_year_played_history_interaction,0.0
scoring_round_4_scoring_average,0.0
top_10,0.0
course_fit_score,0.0
putting_strengths,0.0
most_recent_position,0.0
worst_finish_position,0.0
last2_score,0.0
avg_front_nine,0.0
last3_score,0.0
off_tee_rank_worst,0.0
last_year,0.0
positive_sg_count,0.0
position_momentum,0.0
first_to_last_diff,0.0
scoring_late_scoring_average_rank_scaled,0.0
overall_rank_best,0.0
back_nine_par_pct,0.0
score,0.0
has_weather_data,0.0
avg_bogey_streak,0.0
recent_vs_history,0.0
recent_median_finish,0.0
avg_temp,0.0
strength_weakness_ratio,0.0
weighted_recent_position,0.0
history_sg_differential,0.0
last2_position_numeric,0.0
avg_birdie_streak,0.0
last3_position_numeric,0.0
max_birdie_streak,0.0
top5,0.0
top10_2_scaled,0.0
off_tee_weaknesses,0.0
front_nine_birdie_pct,0.0
