episode,reward,accuracy,loss,epsilon,time
1,-4.805555555555555,0.013888888888888888,2.276810871561368,0.7402609576967045,11.10071
2,-4.805555555555555,0.013888888888888888,1.2887022288309202,0.5159963842937159,15.532962
3,-4.791666666666667,0.013888888888888888,0.9421900018221803,0.3596735257153405,19.79332
4,-4.638888888888889,0.027777777777777776,0.7887343905038304,0.2507092085103961,27.039345
5,-4.833333333333333,0.013888888888888888,0.7350485101342201,0.17475600159032884,42.418952
6,-4.430555555555555,0.041666666666666664,0.636708138924506,0.12181307688414106,52.937215
7,-4.208333333333333,0.05555555555555555,0.5889703999790881,0.08490939117940327,65.268701
8,-4.055555555555555,0.06944444444444445,0.5819229460838768,0.05918580250061433,94.243402
9,-4.763888888888889,0.027777777777777776,0.4927661349065602,0.049911691230058335,109.794674
10,-4.388888888888889,0.05555555555555555,0.3481086617232197,0.049911691230058335,170.206043
11,-4.166666666666667,0.06944444444444445,0.24678853177465498,0.049911691230058335,128.256495
12,-4.708333333333333,0.027777777777777776,0.3027126378664333,0.049911691230058335,123.602114
13,-4.763888888888889,0.027777777777777776,0.408442221982922,0.049911691230058335,138.481227
14,-4.083333333333333,0.06944444444444445,0.32335976301692426,0.049911691230058335,128.43019
15,-3.7916666666666665,0.09722222222222222,0.282130248100859,0.049911691230058335,158.067396
16,-4.569444444444445,0.041666666666666664,0.33581334243838984,0.049911691230058335,133.203214
17,-4.597222222222222,0.041666666666666664,0.35872657207073644,0.049911691230058335,133.768359
18,-4.805555555555555,0.027777777777777776,0.37480851776328766,0.049911691230058335,166.426099
19,-4.541666666666667,0.041666666666666664,0.3021447862394982,0.049911691230058335,143.998517
20,-4.166666666666667,0.06944444444444445,0.2518523712060414,0.049911691230058335,147.338619
21,-3.9305555555555554,0.08333333333333333,0.3118398970691487,0.049911691230058335,160.325066
22,-4.388888888888889,0.05555555555555555,0.33490915389524567,0.049911691230058335,161.956757
23,-4.138888888888889,0.06944444444444445,0.25462106046810123,0.049911691230058335,138.106575
24,-3.6666666666666665,0.09722222222222222,0.3288760365944149,0.049911691230058335,145.571918
25,-3.4305555555555554,0.1111111111111111,0.298845501927038,0.049911691230058335,113.456919
26,-4.583333333333333,0.041666666666666664,0.5284698996951597,0.049911691230058335,149.858135
27,-4.222222222222222,0.06944444444444445,0.33354152253984165,0.049911691230058335,148.181437
28,-3.486111111111111,0.1111111111111111,0.3603615832980722,0.049911691230058335,136.900567
29,-4.333333333333333,0.05555555555555555,0.32188118131469107,0.049911691230058335,143.481398
30,-4.333333333333333,0.05555555555555555,0.3388834807685473,0.049911691230058335,144.539648
31,-4.319444444444445,0.05555555555555555,0.2601130632424934,0.049911691230058335,133.556494
32,-3.9583333333333335,0.08333333333333333,0.3256828171433881,0.049911691230058335,162.76949
33,-4.083333333333333,0.06944444444444445,0.20755178051897222,0.049911691230058335,133.718258
34,-4.347222222222222,0.05555555555555555,0.2869650746967333,0.049911691230058335,139.230466
35,-3.9722222222222223,0.08333333333333333,0.2754800668270845,0.049911691230058335,145.71147
36,-4.319444444444445,0.05555555555555555,0.301187441800721,0.049911691230058335,135.521
37,-4.458333333333333,0.041666666666666664,0.28503681456075153,0.049911691230058335,110.751397
38,-4.555555555555555,0.041666666666666664,0.3242905033726452,0.049911691230058335,148.101364
39,-3.9166666666666665,0.08333333333333333,0.24819840891804132,0.049911691230058335,146.585236
40,-4.166666666666667,0.06944444444444445,0.2744042187178921,0.049911691230058335,148.08789
41,-4.013888888888889,0.08333333333333333,0.1743745141235801,0.049911691230058335,149.509402
42,-3.6527777777777777,0.09722222222222222,0.2716176212610056,0.049911691230058335,151.665856
43,-4.5,0.041666666666666664,0.2286594114007635,0.049911691230058335,105.674028
44,-4.444444444444445,0.05555555555555555,0.20510441075182623,0.049911691230058335,155.487032
45,-3.888888888888889,0.08333333333333333,0.23607909806176192,0.049911691230058335,159.388471
46,-4.388888888888889,0.05555555555555555,0.16917675284720543,0.049911691230058335,144.310733
47,-5.027777777777778,0.013888888888888888,0.16241266255060005,0.049911691230058335,176.4445
48,-3.9444444444444446,0.08333333333333333,0.2686729596850152,0.049911691230058335,141.267585
49,-4.75,0.027777777777777776,0.18394342505942202,0.049911691230058335,153.042667
50,-4.180555555555555,0.06944444444444445,0.2053181068945883,0.049911691230058335,163.47365
